State,District,Water_Source,pH,Dissolved_Oxygen,BOD,COD,TDS,Conductivity,Turbidity,Nitrate,Phosphate,Temperature,Hardness,Chloride,Sulfate,WQI,Quality
Telangana,Nizamabad,Groundwater,8.28,7.53,3.1,11.76,591,886,4.51,29.26,1.85,25.9,330,139,168,28,Unsafe
Gujarat,Ahmedabad,River,7.77,5.5,4.26,28.16,156,236,2.47,38.74,1.02,22.4,200,50,173,36,Unsafe
Kerala,Kochi,Groundwater,8.46,6.23,7.89,31.12,593,384,4.5,24.27,1.91,24.1,261,24,33,12,Unsafe
Andhra Pradesh,Vijayawada,Reservoir,7.48,6.5,7.39,21.56,618,186,7.83,9.29,0.8,23.7,67,55,22,22,Unsafe
Karnataka,Bengaluru,River,7.48,8.24,4.31,19.81,368,795,5.94,15.37,2.32,18.8,343,72,113,48,Poor
Telangana,Hyderabad,Reservoir,8.41,7.42,6.1,37.45,582,599,4.96,6.11,2.28,28.9,208,179,21,31,Unsafe
Gujarat,Ahmedabad,Lake,7.25,4.92,7.92,44.9,518,734,9.29,18.53,1.65,31.1,112,114,65,12,Unsafe
Andhra Pradesh,Guntur,River,6.33,9.16,7.99,25.0,628,857,8.37,28.55,1.6,34.5,112,73,110,19,Unsafe
Gujarat,Ahmedabad,Lake,8.55,8.58,3.24,36.13,265,851,3.89,3.98,1.5,23.1,270,105,174,57,Poor
Tamil Nadu,Madurai,Lake,6.54,7.16,3.32,41.6,81,776,6.6,36.19,1.77,28.0,321,47,25,41,Poor
Maharashtra,Mumbai,Lake,8.25,6.61,2.86,25.15,342,799,1.32,39.54,1.51,20.3,192,114,193,35,Unsafe
Uttar Pradesh,Kanpur,Lake,6.58,8.15,3.75,27.88,662,641,2.59,33.48,2.24,26.5,178,94,107,32,Unsafe
Maharashtra,Nagpur,River,6.51,7.45,7.66,13.95,694,387,3.66,18.08,2.48,23.9,65,42,130,24,Unsafe
Telangana,Hyderabad,Reservoir,8.27,9.1,2.55,19.03,673,384,7.63,33.63,1.32,34.4,137,102,98,25,Unsafe
Karnataka,Bengaluru,Reservoir,6.74,5.86,5.54,17.67,253,654,3.23,7.14,2.16,27.8,193,51,110,46,Poor
West Bengal,Kolkata,Lake,8.6,8.84,4.58,43.98,153,413,2.12,30.85,1.28,32.6,283,76,144,50,Poor
West Bengal,Siliguri,Reservoir,8.33,4.98,6.68,39.44,616,573,2.82,16.53,0.6,27.9,272,109,215,16,Unsafe
Tamil Nadu,Coimbatore,Groundwater,6.76,8.08,5.6,17.1,437,403,7.74,18.02,2.18,24.1,325,175,214,36,Unsafe
Karnataka,Mangaluru,Lake,7.34,7.44,7.03,44.27,435,597,8.28,37.68,1.86,26.6,311,151,205,21,Unsafe
Gujarat,Surat,Groundwater,6.79,5.02,7.84,37.07,284,421,9.84,5.66,1.52,33.5,294,128,175,24,Unsafe
Uttar Pradesh,Varanasi,River,7.72,7.92,3.48,37.92,122,771,9.84,38.14,1.15,18.4,222,79,24,37,Unsafe
Delhi,New Delhi,Reservoir,8.48,8.8,3.0,33.52,508,259,9.8,11.55,0.34,25.0,312,112,129,34,Unsafe
Tamil Nadu,Chennai,Groundwater,6.62,5.76,2.58,37.7,642,567,7.11,2.0,1.69,34.7,323,117,214,30,Unsafe
Kerala,Thiruvananthapuram,Lake,7.77,7.02,6.31,15.92,382,254,7.51,7.51,1.85,33.7,287,103,47,36,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,7.29,4.58,2.76,27.01,266,530,8.32,9.24,0.72,32.6,232,173,164,37,Unsafe
Karnataka,Mysuru,Lake,6.92,5.23,1.22,14.74,129,759,2.27,30.69,2.28,28.3,100,115,90,48,Poor
Andhra Pradesh,Guntur,Reservoir,7.41,8.13,6.11,31.35,169,423,2.09,25.54,1.72,27.9,62,44,28,55,Poor
Karnataka,Bengaluru,Reservoir,8.53,5.15,7.24,43.44,136,608,8.26,8.88,0.85,30.6,111,141,164,26,Unsafe
Maharashtra,Nagpur,River,6.98,6.05,2.65,20.89,647,786,7.7,2.21,0.56,18.5,147,169,108,33,Unsafe
West Bengal,Kolkata,River,7.54,6.1,2.61,42.24,308,864,5.71,25.91,0.48,34.4,262,144,144,38,Unsafe
Karnataka,Bengaluru,River,6.79,6.4,5.32,13.17,546,800,4.06,5.35,1.32,22.9,270,109,146,37,Unsafe
Uttar Pradesh,Varanasi,Reservoir,7.8,7.11,1.4,39.9,130,657,1.5,7.73,1.84,25.9,112,90,48,68,Moderate
Andhra Pradesh,Visakhapatnam,Reservoir,8.03,8.89,3.51,29.17,402,375,1.56,37.61,1.76,21.3,139,36,98,45,Poor
Telangana,Nizamabad,Reservoir,6.9,5.71,3.61,28.42,669,470,7.96,24.51,0.55,32.5,306,133,50,16,Unsafe
West Bengal,Siliguri,Groundwater,8.58,6.51,5.36,10.43,592,239,9.49,12.82,2.37,21.5,153,20,70,14,Unsafe
Delhi,New Delhi,Lake,8.07,7.04,7.15,17.9,520,481,2.73,36.42,0.42,24.7,337,53,183,21,Unsafe
Maharashtra,Mumbai,Lake,6.58,6.8,1.48,16.77,634,805,8.46,3.98,1.37,26.9,120,126,119,34,Unsafe
Telangana,Warangal,Lake,7.81,7.17,4.78,29.53,301,745,7.0,9.1,0.64,29.9,235,108,101,43,Poor
Maharashtra,Pune,Reservoir,7.23,5.23,4.6,20.07,407,230,9.27,17.98,0.88,32.9,153,149,163,25,Unsafe
Delhi,New Delhi,Reservoir,7.86,6.4,4.93,16.61,94,852,5.64,26.34,1.09,21.5,322,118,146,41,Poor
Gujarat,Vadodara,Lake,7.19,9.03,3.9,19.34,194,725,8.87,13.29,1.14,29.0,226,95,104,57,Poor
Karnataka,Mysuru,Reservoir,8.24,8.58,7.35,28.36,431,690,9.85,19.29,1.61,34.9,198,59,174,25,Unsafe
Delhi,New Delhi,Groundwater,7.7,5.35,3.79,41.92,162,747,5.77,35.04,1.96,24.9,271,29,109,32,Unsafe
Tamil Nadu,Chennai,Reservoir,8.56,7.24,1.38,25.84,616,675,7.07,36.67,1.29,20.1,169,51,20,17,Unsafe
Telangana,Nizamabad,Lake,8.02,5.2,1.22,32.86,372,266,5.77,10.82,1.46,30.0,164,51,22,37,Unsafe
Delhi,New Delhi,Groundwater,6.36,6.32,5.15,12.26,660,610,4.9,12.77,1.02,25.0,209,139,87,24,Unsafe
Uttar Pradesh,Lucknow,River,6.73,8.63,7.15,31.44,94,241,8.33,2.16,1.92,21.0,335,121,106,56,Poor
Karnataka,Mangaluru,Reservoir,7.96,6.27,4.71,16.8,395,755,9.38,22.48,2.33,20.2,307,170,200,22,Unsafe
Kerala,Kozhikode,Reservoir,7.02,4.83,3.81,32.03,570,800,2.87,6.94,1.4,34.3,334,144,146,35,Unsafe
Telangana,Hyderabad,Groundwater,7.49,5.7,3.34,24.34,449,456,6.2,38.31,1.28,33.6,163,120,88,22,Unsafe
Telangana,Hyderabad,River,6.34,9.2,1.7,17.95,336,799,2.37,37.46,0.71,21.1,72,89,121,51,Poor
Uttar Pradesh,Lucknow,Lake,6.82,5.9,3.27,42.05,422,293,7.8,10.93,2.45,19.0,295,107,109,34,Unsafe
Maharashtra,Pune,Lake,6.44,6.18,3.38,13.18,635,343,2.76,36.02,1.22,34.1,307,53,138,21,Unsafe
Maharashtra,Nagpur,Lake,7.38,6.21,7.46,35.63,456,395,7.31,19.94,1.77,21.5,194,48,170,24,Unsafe
Maharashtra,Mumbai,Reservoir,7.81,5.13,4.79,19.97,96,760,2.52,33.43,1.85,23.7,334,174,122,38,Unsafe
Telangana,Hyderabad,Groundwater,7.98,6.93,4.53,13.93,90,252,5.54,23.71,0.78,20.6,135,32,202,45,Poor
Maharashtra,Nagpur,Groundwater,7.16,5.8,2.07,34.62,671,740,5.19,28.44,1.56,33.2,253,64,22,25,Unsafe
Andhra Pradesh,Visakhapatnam,Reservoir,7.15,7.02,2.9,26.76,676,633,0.83,26.42,0.46,30.3,342,24,215,39,Unsafe
West Bengal,Kolkata,River,8.55,6.98,2.52,20.34,428,343,0.58,31.47,2.18,30.7,347,126,167,37,Unsafe
Maharashtra,Pune,Groundwater,6.52,5.34,5.02,12.17,239,400,3.88,6.89,0.77,29.0,151,43,197,42,Poor
West Bengal,Kolkata,Lake,7.95,7.09,5.95,34.88,401,409,1.67,7.6,2.19,25.1,141,67,132,46,Poor
Karnataka,Mangaluru,Lake,7.24,9.19,4.16,14.15,297,426,8.38,10.56,1.04,18.1,337,159,175,55,Poor
Delhi,New Delhi,Lake,6.34,4.91,4.36,13.6,587,646,3.44,26.22,0.47,22.6,104,115,167,17,Unsafe
Tamil Nadu,Madurai,Reservoir,7.61,5.1,7.94,17.23,249,631,5.46,13.3,0.39,23.2,198,108,50,31,Unsafe
Delhi,New Delhi,Groundwater,8.51,5.81,7.02,13.0,422,716,0.76,16.39,0.22,33.4,113,46,108,30,Unsafe
Tamil Nadu,Coimbatore,Groundwater,7.95,5.67,5.67,17.89,605,579,2.41,34.71,1.04,18.4,326,23,53,17,Unsafe
Gujarat,Vadodara,Lake,8.4,5.65,6.28,11.92,358,811,2.34,32.66,0.82,25.9,80,93,187,23,Unsafe
Kerala,Kochi,Reservoir,8.58,4.72,7.78,27.58,496,192,8.46,25.51,0.68,18.8,286,105,192,0,Unsafe
Karnataka,Bengaluru,River,6.38,8.85,3.69,12.17,284,664,5.05,1.14,1.6,34.0,313,61,158,60,Moderate
Gujarat,Ahmedabad,River,8.41,8.71,7.62,11.8,665,423,7.5,34.28,0.93,30.3,213,107,196,12,Unsafe
Gujarat,Surat,River,8.49,7.66,1.44,32.73,678,617,1.99,5.68,0.73,34.0,297,117,47,43,Poor
Delhi,New Delhi,Reservoir,7.54,8.58,3.19,31.27,554,886,4.99,28.33,0.52,33.9,310,141,106,39,Unsafe
Delhi,New Delhi,River,7.76,9.01,1.42,33.06,110,787,5.07,27.71,0.66,28.5,263,146,120,61,Moderate
Kerala,Kozhikode,Reservoir,8.38,5.57,2.6,19.75,505,288,9.7,2.18,1.5,22.1,229,28,27,25,Unsafe
Uttar Pradesh,Varanasi,Reservoir,7.56,9.42,7.63,28.51,260,664,9.24,29.7,0.28,33.7,274,62,64,37,Unsafe
Kerala,Thiruvananthapuram,River,6.6,5.54,2.48,14.29,176,517,5.7,35.23,1.39,27.9,126,46,24,34,Unsafe
Uttar Pradesh,Varanasi,Lake,7.67,9.27,5.84,39.19,698,318,1.9,1.76,1.54,18.4,279,176,25,50,Poor
Telangana,Nizamabad,River,7.56,6.98,4.31,23.6,590,804,4.98,39.53,1.77,31.1,99,135,52,22,Unsafe
Maharashtra,Nagpur,Groundwater,7.15,4.86,2.97,39.86,436,250,4.36,31.96,0.84,19.6,326,118,71,28,Unsafe
Andhra Pradesh,Guntur,Reservoir,6.43,9.5,7.59,18.44,248,368,6.79,14.49,0.43,24.9,132,124,211,47,Poor
Karnataka,Mangaluru,Reservoir,7.06,6.81,3.03,42.55,594,885,7.97,3.3,0.44,32.3,139,171,208,38,Unsafe
Tamil Nadu,Coimbatore,Lake,7.22,5.69,4.47,11.89,585,705,1.33,18.37,2.35,27.2,126,112,116,36,Unsafe
Tamil Nadu,Chennai,Reservoir,7.11,6.25,1.48,28.32,218,668,0.99,32.03,0.24,27.2,243,25,207,53,Poor
Uttar Pradesh,Lucknow,Reservoir,6.88,9.23,1.3,23.11,417,307,1.39,39.62,1.21,29.7,305,62,134,54,Poor
Karnataka,Mangaluru,River,7.3,8.09,1.37,37.68,601,210,9.82,37.18,2.44,28.6,259,151,182,27,Unsafe
Karnataka,Bengaluru,Reservoir,7.16,8.85,7.39,25.25,169,346,5.28,6.16,0.31,27.2,200,134,52,61,Moderate
Maharashtra,Mumbai,Groundwater,7.77,5.28,7.77,13.51,115,578,8.63,23.3,2.3,34.0,118,124,107,25,Unsafe
West Bengal,Kolkata,Groundwater,6.58,8.66,6.94,22.84,474,686,8.56,28.08,1.65,24.4,317,57,54,26,Unsafe
Maharashtra,Mumbai,Lake,8.15,8.46,3.16,21.14,92,590,9.86,10.93,0.7,23.4,181,97,210,52,Poor
Tamil Nadu,Coimbatore,River,7.02,6.34,5.92,32.48,349,609,6.28,18.13,0.22,21.2,264,111,95,35,Unsafe
Andhra Pradesh,Vijayawada,Lake,8.13,7.71,6.42,36.61,160,275,1.65,11.57,1.39,27.8,81,27,132,55,Poor
Kerala,Kochi,Lake,6.73,9.21,3.55,27.86,558,609,4.82,30.94,0.5,19.6,155,173,89,40,Poor
Andhra Pradesh,Vijayawada,River,7.43,4.51,1.62,17.88,193,816,7.01,4.25,1.77,23.4,187,176,124,46,Poor
Delhi,New Delhi,Reservoir,7.04,6.55,1.16,11.92,628,782,9.73,23.73,0.42,34.3,307,43,209,25,Unsafe
Karnataka,Bengaluru,River,8.55,5.68,5.11,13.99,360,188,6.4,11.49,1.52,26.9,273,162,117,26,Unsafe
Karnataka,Bengaluru,Lake,7.16,7.81,5.16,36.41,406,377,1.02,34.7,2.48,21.8,133,143,188,45,Poor
West Bengal,Kolkata,River,7.72,9.38,3.05,35.2,515,497,1.66,20.08,0.12,30.2,235,91,182,55,Poor
Gujarat,Vadodara,Lake,7.58,6.04,7.04,38.47,316,626,8.4,6.72,1.05,27.8,156,120,65,32,Unsafe
Gujarat,Ahmedabad,Lake,7.91,4.76,2.68,39.92,98,453,3.11,28.96,2.08,29.9,266,150,45,40,Poor
Kerala,Thiruvananthapuram,River,8.53,5.0,4.68,19.41,372,773,8.52,27.39,2.0,34.6,189,56,65,11,Unsafe
West Bengal,Kolkata,Reservoir,7.17,5.38,5.35,27.45,480,865,6.0,24.7,1.78,21.6,298,175,68,24,Unsafe
Telangana,Hyderabad,Reservoir,6.72,4.77,7.39,11.4,539,189,9.5,27.37,0.17,31.2,350,157,128,3,Unsafe
Andhra Pradesh,Guntur,Lake,8.48,5.14,1.57,38.04,197,695,7.4,25.8,0.66,27.9,66,69,105,29,Unsafe
Delhi,New Delhi,Reservoir,7.84,7.53,2.61,27.43,266,781,1.54,1.89,0.31,23.0,230,163,100,65,Moderate
Karnataka,Mangaluru,Reservoir,6.91,5.83,1.37,14.52,468,549,3.56,14.96,0.39,31.5,226,74,129,43,Poor
West Bengal,Siliguri,Lake,8.45,7.29,2.46,19.33,124,360,3.46,22.44,0.96,21.8,138,130,149,50,Poor
Andhra Pradesh,Visakhapatnam,Lake,6.6,5.73,7.58,14.92,248,634,2.08,34.33,0.88,21.1,177,93,204,29,Unsafe
Kerala,Kochi,Reservoir,7.1,8.19,2.31,17.35,403,339,4.79,5.3,0.7,25.2,273,23,122,59,Poor
Kerala,Kochi,Groundwater,6.66,8.86,1.51,24.38,205,674,8.2,23.79,1.29,26.6,266,154,75,52,Poor
West Bengal,Siliguri,Groundwater,7.03,6.52,6.18,38.19,282,588,6.52,9.27,1.73,27.8,215,120,25,42,Poor
Kerala,Thiruvananthapuram,Groundwater,6.91,5.45,7.46,15.95,517,513,8.78,39.22,0.72,19.4,239,157,140,4,Unsafe
Karnataka,Mangaluru,River,6.53,8.89,2.76,42.46,529,646,0.84,11.23,1.47,32.0,336,42,25,57,Poor
Kerala,Kochi,Groundwater,6.63,6.99,1.28,23.85,442,337,1.38,38.42,0.79,26.0,108,39,83,40,Poor
Telangana,Hyderabad,Groundwater,7.49,9.29,7.1,39.46,453,499,1.98,36.08,0.12,31.2,239,179,152,42,Poor
Uttar Pradesh,Varanasi,River,8.15,6.29,5.12,18.72,185,273,1.67,26.34,1.36,33.5,90,81,85,42,Poor
Delhi,New Delhi,Lake,7.98,9.07,6.31,12.34,634,412,6.29,20.49,0.54,19.3,88,157,21,30,Unsafe
Andhra Pradesh,Guntur,Lake,7.62,8.61,7.53,12.87,141,677,8.9,4.17,0.51,18.2,156,26,61,51,Poor
Tamil Nadu,Coimbatore,Groundwater,6.5,8.18,2.29,20.69,532,514,2.37,15.21,1.5,20.6,336,107,88,49,Poor
Kerala,Kozhikode,Reservoir,8.05,5.44,6.96,20.96,101,574,1.49,36.95,0.34,31.8,62,32,29,33,Unsafe
Uttar Pradesh,Kanpur,Reservoir,7.32,8.31,5.26,39.42,483,855,2.21,23.39,0.36,28.3,60,61,131,47,Poor
Tamil Nadu,Coimbatore,River,8.31,6.84,3.36,20.81,347,758,8.55,10.67,0.85,27.2,192,123,140,34,Unsafe
Telangana,Hyderabad,Groundwater,8.59,8.24,4.32,17.66,179,818,2.2,5.19,1.36,19.3,281,168,106,59,Poor
Tamil Nadu,Chennai,Reservoir,7.42,9.41,4.99,16.21,247,183,7.71,23.49,1.76,33.4,74,162,190,50,Poor
Karnataka,Mangaluru,River,8.25,5.14,5.53,35.39,542,721,5.12,22.67,0.47,21.6,344,144,211,15,Unsafe
Tamil Nadu,Chennai,River,8.03,8.17,2.85,23.2,561,716,3.5,16.22,1.19,21.1,97,70,25,43,Poor
Andhra Pradesh,Guntur,Lake,6.41,8.12,3.88,40.21,254,574,2.88,37.05,2.28,24.7,62,69,56,44,Poor
Kerala,Kozhikode,Reservoir,7.84,5.34,7.3,25.97,515,408,6.42,18.59,0.19,24.7,143,176,143,16,Unsafe
Telangana,Warangal,River,8.53,8.35,7.49,39.78,641,479,9.11,9.13,0.83,21.2,328,36,185,20,Unsafe
Maharashtra,Pune,River,7.69,5.83,3.05,25.5,354,280,8.86,12.52,2.06,18.3,77,126,59,33,Unsafe
Delhi,New Delhi,Groundwater,8.02,7.78,1.64,40.17,544,188,4.78,14.38,0.78,27.7,316,124,213,43,Poor
Maharashtra,Nagpur,Reservoir,8.49,6.12,3.43,29.17,135,804,9.42,21.57,0.84,29.5,295,169,115,30,Unsafe
Delhi,New Delhi,River,8.02,7.48,7.38,37.85,687,519,6.99,21.64,1.14,23.1,252,102,122,16,Unsafe
West Bengal,Siliguri,River,8.14,6.64,3.77,21.67,561,283,9.19,38.21,0.68,20.1,105,77,141,10,Unsafe
Telangana,Nizamabad,River,7.57,5.36,6.57,35.95,206,545,1.85,33.02,1.12,28.3,286,163,110,34,Unsafe
Maharashtra,Pune,Groundwater,7.64,6.54,3.67,37.06,527,371,8.08,1.35,2.18,21.1,238,41,218,36,Unsafe
West Bengal,Kolkata,Reservoir,6.33,6.55,3.76,11.96,613,833,5.52,10.56,2.22,23.7,93,89,108,29,Unsafe
Andhra Pradesh,Guntur,River,6.61,6.47,1.06,28.58,140,289,0.94,11.38,1.85,32.3,310,160,141,64,Moderate
West Bengal,Siliguri,Lake,7.31,9.02,5.02,31.54,136,666,2.26,35.55,2.13,25.4,141,119,47,58,Poor
Delhi,New Delhi,Reservoir,7.02,5.87,2.93,40.62,646,613,4.59,13.0,1.3,30.1,170,24,153,33,Unsafe
Telangana,Warangal,Lake,8.07,5.46,7.15,35.53,438,211,8.18,19.33,1.92,24.1,102,47,127,14,Unsafe
Karnataka,Mysuru,Reservoir,8.23,7.51,2.3,41.12,449,331,3.12,12.29,0.75,23.4,218,153,164,46,Poor
Tamil Nadu,Coimbatore,Lake,7.58,6.85,6.76,44.59,279,662,4.76,18.74,0.37,25.5,185,162,76,40,Poor
Gujarat,Ahmedabad,Groundwater,6.46,5.49,1.96,44.31,113,395,6.02,8.41,0.12,25.9,288,133,76,49,Poor
Maharashtra,Mumbai,Reservoir,6.97,8.87,5.19,42.08,183,531,9.25,18.04,2.46,24.0,90,54,184,49,Poor
Delhi,New Delhi,Groundwater,7.8,5.74,5.81,38.2,398,880,6.46,11.84,2.27,34.0,329,30,48,30,Unsafe
Maharashtra,Pune,Groundwater,6.93,7.19,5.84,19.28,525,719,4.35,38.34,0.33,18.3,298,139,198,25,Unsafe
Kerala,Thiruvananthapuram,Groundwater,6.7,5.33,5.11,44.42,131,220,8.8,4.95,0.51,22.5,123,162,215,39,Unsafe
Tamil Nadu,Coimbatore,Reservoir,8.49,6.87,5.23,38.59,661,892,7.54,22.22,1.78,22.3,261,113,129,13,Unsafe
West Bengal,Siliguri,Lake,8.05,5.58,1.17,28.08,303,665,3.91,25.52,1.16,28.9,220,23,211,38,Unsafe
Telangana,Hyderabad,Lake,8.06,8.47,6.96,23.53,411,626,6.71,6.08,1.63,33.2,259,178,166,41,Poor
Gujarat,Vadodara,Lake,7.63,5.02,4.76,34.43,673,190,7.37,20.49,1.13,18.5,94,25,57,12,Unsafe
Delhi,New Delhi,Reservoir,7.05,5.02,1.95,27.61,515,477,8.84,17.8,2.03,18.7,337,33,180,25,Unsafe
Karnataka,Mysuru,Groundwater,6.75,6.39,5.02,29.13,394,694,6.65,36.89,0.5,21.6,206,160,178,23,Unsafe
West Bengal,Siliguri,Groundwater,6.59,6.75,5.36,27.24,571,486,3.02,23.2,1.02,34.9,242,73,43,30,Unsafe
Uttar Pradesh,Lucknow,River,8.4,8.37,1.27,35.04,130,391,3.73,32.69,1.84,19.7,140,99,219,53,Poor
Uttar Pradesh,Varanasi,Reservoir,6.65,8.59,7.24,36.95,429,818,7.73,26.49,1.91,23.0,147,129,87,30,Unsafe
Kerala,Kozhikode,Lake,8.44,8.68,7.68,12.59,677,581,1.69,34.56,1.23,26.2,163,162,106,22,Unsafe
Karnataka,Bengaluru,Groundwater,7.27,7.56,5.33,18.69,507,824,5.69,22.51,1.75,19.0,184,171,39,36,Unsafe
Andhra Pradesh,Guntur,Groundwater,7.36,4.68,6.76,39.1,496,471,5.92,19.1,1.96,26.5,171,75,214,19,Unsafe
Delhi,New Delhi,Lake,8.23,5.77,5.97,26.84,547,833,3.14,9.0,1.37,34.4,322,156,79,28,Unsafe
Andhra Pradesh,Guntur,Lake,8.31,5.96,6.93,20.54,348,694,1.85,35.58,2.04,18.5,325,56,158,24,Unsafe
West Bengal,Kolkata,Lake,8.52,6.29,2.95,35.56,610,308,2.49,37.0,2.3,27.2,123,172,34,19,Unsafe
Maharashtra,Pune,Reservoir,7.02,5.28,7.35,28.16,602,707,3.67,25.22,1.99,25.9,124,49,194,18,Unsafe
Kerala,Kochi,Reservoir,6.54,5.19,3.32,11.94,605,667,7.26,16.32,1.49,32.0,160,126,199,19,Unsafe
West Bengal,Siliguri,Reservoir,8.54,8.79,5.12,42.77,480,231,2.34,24.66,1.07,25.0,341,169,45,39,Unsafe
Maharashtra,Nagpur,Reservoir,7.25,8.57,4.48,37.04,695,361,9.46,31.97,2.11,19.5,227,44,175,23,Unsafe
West Bengal,Kolkata,Groundwater,7.46,6.19,5.29,17.62,188,356,1.2,31.95,0.88,24.3,186,110,106,44,Poor
Gujarat,Vadodara,Lake,7.99,6.76,7.84,24.9,421,651,7.7,14.79,0.18,33.3,307,147,154,24,Unsafe
Tamil Nadu,Chennai,Lake,7.9,9.12,1.86,37.3,661,858,1.58,34.67,1.22,33.7,121,68,149,41,Poor
Gujarat,Ahmedabad,Lake,6.39,5.23,7.52,41.47,189,274,8.36,28.57,2.12,22.8,191,87,136,18,Unsafe
Uttar Pradesh,Varanasi,Reservoir,8.3,5.12,2.04,32.55,176,442,5.7,8.93,0.65,34.0,232,79,28,42,Poor
Tamil Nadu,Chennai,Lake,8.09,8.32,2.35,26.75,364,829,5.56,39.65,1.84,30.2,92,152,144,36,Unsafe
Tamil Nadu,Chennai,Groundwater,7.45,6.53,5.34,29.27,281,837,0.53,19.89,1.69,26.5,302,21,154,50,Poor
Gujarat,Vadodara,Groundwater,6.95,8.82,7.59,25.36,418,280,2.62,12.26,1.72,24.7,110,175,190,51,Poor
Telangana,Nizamabad,Groundwater,6.84,5.9,5.15,14.86,545,403,7.73,11.06,0.9,27.6,318,95,103,26,Unsafe
Delhi,New Delhi,Reservoir,6.89,6.4,5.63,38.57,356,836,4.58,23.16,1.34,32.5,69,86,157,35,Unsafe
Gujarat,Vadodara,River,7.85,5.38,1.53,34.06,228,323,0.92,23.28,1.36,33.7,67,49,63,48,Poor
Kerala,Thiruvananthapuram,Lake,8.33,9.03,2.04,31.12,379,786,2.16,17.74,1.35,18.6,265,66,170,56,Poor
West Bengal,Siliguri,Lake,6.67,7.81,2.51,16.24,92,600,9.04,27.19,2.11,18.0,138,50,65,46,Poor
Telangana,Hyderabad,Reservoir,6.87,7.65,2.07,40.07,256,875,9.64,8.5,0.78,26.9,206,161,104,50,Poor
Karnataka,Mangaluru,Lake,7.8,8.51,1.66,15.12,178,705,8.48,24.86,1.65,19.9,341,138,71,50,Poor
Telangana,Hyderabad,Groundwater,7.23,7.51,1.5,42.17,620,335,7.6,2.65,1.57,32.3,313,50,83,45,Poor
Gujarat,Ahmedabad,River,7.09,6.48,7.64,39.15,634,356,9.59,24.75,1.25,24.1,210,124,162,11,Unsafe
Maharashtra,Nagpur,Reservoir,8.24,7.55,3.3,35.44,406,310,3.6,2.71,1.65,29.2,86,93,193,50,Poor
Telangana,Warangal,River,6.73,8.86,3.41,11.73,128,503,4.51,39.68,0.95,19.7,146,44,172,52,Poor
Delhi,New Delhi,Reservoir,8.49,7.94,6.93,40.84,518,256,4.04,5.94,1.03,20.8,72,139,68,36,Unsafe
Maharashtra,Nagpur,River,7.22,8.71,1.11,13.27,532,661,0.69,16.37,1.97,20.2,146,49,97,62,Moderate
Maharashtra,Pune,Groundwater,6.78,5.67,7.9,28.37,174,639,9.22,6.7,1.18,25.1,75,110,85,32,Unsafe
Uttar Pradesh,Lucknow,River,7.81,8.93,6.27,40.67,399,594,2.3,14.76,2.34,21.0,256,126,144,51,Poor
Andhra Pradesh,Guntur,River,8.07,7.87,5.2,16.4,411,362,7.79,17.11,1.53,31.9,305,127,180,33,Unsafe
Kerala,Thiruvananthapuram,Lake,6.49,7.91,7.44,33.57,93,730,9.79,1.75,1.68,31.0,343,174,60,47,Poor
Kerala,Kochi,Groundwater,6.71,5.81,6.06,33.69,465,874,2.01,28.6,0.92,30.4,273,33,126,28,Unsafe
Andhra Pradesh,Vijayawada,Groundwater,6.97,9.3,3.72,30.4,252,551,3.22,37.25,0.28,22.9,232,147,32,54,Poor
Gujarat,Surat,Lake,7.02,9.01,5.66,35.41,293,578,2.79,15.26,1.27,27.5,217,164,58,59,Poor
Tamil Nadu,Madurai,Reservoir,8.08,7.39,4.81,24.84,272,300,9.96,30.08,1.83,22.6,209,25,37,26,Unsafe
Kerala,Kozhikode,Reservoir,7.17,8.95,1.2,18.06,380,355,5.75,39.23,0.32,31.8,70,94,139,48,Poor
Gujarat,Ahmedabad,Lake,8.12,7.45,3.12,24.49,506,522,3.12,1.29,0.89,32.2,160,134,47,49,Poor
Karnataka,Mysuru,River,8.09,9.31,4.55,39.29,410,757,4.19,5.53,2.27,18.4,323,31,182,55,Poor
Delhi,New Delhi,Reservoir,7.84,6.83,4.26,37.05,275,613,9.46,17.6,1.72,30.0,116,28,107,34,Unsafe
West Bengal,Kolkata,Reservoir,6.56,7.82,1.55,37.71,139,830,8.79,9.46,0.6,30.1,326,159,175,55,Poor
Kerala,Thiruvananthapuram,Groundwater,7.68,4.94,7.05,28.26,196,367,1.15,23.24,1.31,24.4,119,167,156,37,Unsafe
Andhra Pradesh,Visakhapatnam,Lake,7.93,8.21,7.81,29.55,305,295,0.59,22.99,1.62,31.4,236,121,85,47,Poor
Kerala,Kozhikode,River,8.01,6.27,4.4,41.73,521,669,4.21,6.34,0.33,18.8,157,136,135,36,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.45,9.39,7.27,25.97,557,681,0.92,9.5,0.67,18.7,144,77,202,54,Poor
Karnataka,Mangaluru,Groundwater,7.34,7.2,3.94,15.65,496,558,5.96,39.42,2.22,30.2,118,52,190,28,Unsafe
Telangana,Warangal,River,6.93,9.05,2.16,40.94,443,750,9.98,10.75,0.75,31.6,200,179,31,48,Poor
Uttar Pradesh,Varanasi,River,8.49,7.71,6.58,10.95,579,802,0.51,24.1,1.47,24.3,340,139,166,31,Unsafe
